line_num,tokens,token_ids
91,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . ælīrys se pryvella se hēdrȳ henujagon glaes , se henujagon zaldrīzir , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . <EOS>",2 9 24 80 7 9 4 35 12 5 75 4 73 4 19 9 47 7 4 9 30 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 3
92,"<BOS> skoros issi . ælīrys issi hen valyria , se hēdrȳ hen jaelagon issi se zaldrīzir jorrāelagon se glaes . pryvella issi hen lēkia , henujagon hen vējose se henujagon zaldrīzir . <EOS>",2 13 12 5 75 12 24 107 7 4 19 24 45 12 4 30 22 4 47 5 73 12 24 111 7 9 24 44 4 9 30 5 3
93,"<BOS> henujagon hen mēre , pryvella se ælīrys se hēdrȳ henujagon glaes , se henujagon zaldrīzir , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . hen belma jaelagon henujagon pryvella se ābrar issi , se henujagon se vējose se henujagon glaes jorrāelagon hen iderēbza issi . <EOS>",2 9 24 80 7 73 4 75 4 19 9 47 7 4 9 30 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 24 69 45 9 73 4 88 12 7 4 9 4 44 4 9 47 22 24 35 12 5 3
94,"<BOS> pryvella , skoros issi se hēdrȳ henujagon zaldrīzir ? <EOS>",2 73 7 13 12 4 19 9 30 59 3
95,"<BOS> skoros issi , ælīrys . henujagon se zaldrīzir jorrāelagon iderēbza issi . skoros issi se henujagon glaes , se henujagon kirimvose . <EOS>",2 13 12 7 75 5 9 4 30 22 35 12 5 13 12 4 9 47 7 4 9 49 5 3
96,"<BOS> iderēbza issi se hēdrȳ henujagon glaes , se henujagon kirimvose . pryvella , skoros issi se hēdrȳ henujagon vējose ? <EOS>",2 35 12 4 19 9 47 7 4 9 49 5 73 7 13 12 4 19 9 44 59 3
97,"<BOS> skoros issi , ælīrys . henujagon se vējose jorrāelagon iderēbza issi . skoros issi se henujagon zaldrīzir . <EOS>",2 13 12 7 75 5 9 4 44 22 35 12 5 13 12 4 9 30 5 3
98,"<BOS> iderēbza issi se hēdrȳ henujagon zaldrīzir . pryvella , skoros issi se hēdrȳ henujagon kirimvose ? <EOS>",2 35 12 4 19 9 30 5 73 7 13 12 4 19 9 49 59 3
99,"<BOS> skoros issi , ælīrys . henujagon se kirimvose jorrāelagon iderēbza issi . skoros issi se henujagon qilōni . <EOS>",2 13 12 7 75 5 9 4 49 22 35 12 5 13 12 4 9 54 5 3
100,"<BOS> iderēbza issi se hēdrȳ henujagon qilōni . pryvella , skoros issi se hēdrȳ henujagon dōre ? <EOS>",2 35 12 4 19 9 54 5 73 7 13 12 4 19 9 71 59 3
101,"<BOS> skoros issi , ælīrys . henujagon se dōre jorrāelagon iderēbza issi . skoros issi , æeksio . <EOS>",2 13 12 7 75 5 9 4 71 22 35 12 5 13 12 7 174 5 3
102,"<BOS> iderēbza issi , pryvella . skoros issi se hēdrȳ henujagon dōre . morghūljagon jorrāelagon hen skoros . <EOS>",2 35 12 7 73 5 13 12 4 19 9 71 5 81 22 24 13 5 3
103,"<BOS> morghūljagon issi , ælīrys . skoros issi se henujagon glaes , se henujagon zaldrīzir . <EOS>",2 81 12 7 75 5 13 12 4 9 47 7 4 9 30 5 3
104,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . ælīrys se pryvella se hēdrȳ henujagon glaes , se henujagon zaldrīzir , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . hen belma jaelagon henujagon pryvella se ābrar issi , se henujagon se vējose se henujagon glaes jorrāelagon hen iderēbza issi . morghot issi hen henujagon se ābrar , se hēdrȳ henujagon zaldrīzir , se henujagon kirimvose . <EOS>",2 9 24 80 7 9 4 35 12 5 75 4 73 4 19 9 47 7 4 9 30 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 24 69 45 9 73 4 88 12 7 4 9 4 44 4 9 47 22 24 35 12 5 84 12 24 9 4 88 7 4 19 9 30 7 4 9 49 5 3
105,"<BOS> daenerys targaryen se henujagon se zaldrīzir issi , se iderēbza hen hēdrȳ jaelagon se pyghor . pryjari se henujagon kirimvose se henujagon qilōni , issi se hēdrȳ se glaes jorrāelagon iderēbza . hen vējose se henujagon qilōni , se hēdrȳ se zaldrīzir . <EOS>",2 115 65 4 9 4 30 12 7 4 35 24 19 45 4 87 5 39 4 9 49 4 9 54 7 12 4 19 4 47 22 35 5 24 44 4 9 54 7 4 19 4 30 5 3
106,"<BOS> zaldrīzir , iderēbza issi . <EOS>",2 30 7 35 12 5 3
107,"<BOS> zaldrīzir issi hēdrȳ se glaes , se hēdrȳ se zaldrīzir . daenerys se zaldrīzir se henujagon vējose , se henujagon glaes . <EOS>",2 30 12 19 4 47 7 4 19 4 30 5 115 4 30 4 9 44 7 4 9 47 5 3
108,"<BOS> zaldrīzir , skoros issi se hēdrȳ henujagon kirimvose . <EOS>",2 30 7 13 12 4 19 9 49 5 3
109,"<BOS> zaldrīzir issi se hēdrȳ se kirimvose . hen vējose se henujagon kirimvose , se hēdrȳ se zaldrīzir . <EOS>",2 30 12 4 19 4 49 5 24 44 4 9 49 7 4 19 4 30 5 3
110,"<BOS> zaldrīzir , henujagon se qilōni jorrāelagon se glaes . <EOS>",2 30 7 9 4 54 22 4 47 5 3
111,"<BOS> zaldrīzir issi henujagon se qilōni , se hēdrȳ se glaes . daenerys se zaldrīzir se henujagon vējose , se henujagon glaes . <EOS>",2 30 12 9 4 54 7 4 19 4 47 5 115 4 30 4 9 44 7 4 9 47 5 3
112,"<BOS> zaldrīzir , jēdar issi se henujagon glaes jorrāelagon se zaldrīzir . <EOS>",2 30 7 83 12 4 9 47 22 4 30 5 3
113,"<BOS> zaldrīzir issi jēdar se henujagon glaes , se hēdrȳ se zaldrīzir . daenerys se zaldrīzir se henujagon vējose , se henujagon glaes . <EOS>",2 30 12 83 4 9 47 7 4 19 4 30 5 115 4 30 4 9 44 7 4 9 47 5 3
114,"<BOS> zaldrīzir , skoros issi se henujagon dōre . <EOS>",2 30 7 13 12 4 9 71 5 3
115,"<BOS> zaldrīzir issi se henujagon dōre . hen vējose se henujagon dōre , se hēdrȳ se zaldrīzir . <EOS>",2 30 12 4 9 71 5 24 44 4 9 71 7 4 19 4 30 5 3
116,"<BOS> zaldrīzir , morghūljagon jorrāelagon se glaes . <EOS>",2 30 7 81 22 4 47 5 3
117,"<BOS> zaldrīzir issi morghūljagon se henujagon glaes . daenerys se zaldrīzir se henujagon vējose , se henujagon glaes . <EOS>",2 30 12 81 4 9 47 5 115 4 30 4 9 44 7 4 9 47 5 3
118,"<BOS> zaldrīzir , skoros issi , henujagon kirimvose . <EOS>",2 30 7 13 12 7 9 49 5 3
119,"<BOS> zaldrīzir issi henujagon kirimvose . hen vējose se henujagon kirimvose , se hēdrȳ se zaldrīzir . <EOS>",2 30 12 9 49 5 24 44 4 9 49 7 4 19 4 30 5 3
120,"<BOS> daenerys se zaldrīzir se henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . hen pōnta jaelagon , zaldrīzir issi henujagon drējagon , se hēdrȳ se zaldrīzir . <EOS>",2 115 4 30 4 9 53 45 62 7 4 19 9 44 5 24 53 45 7 30 12 9 62 7 4 19 4 30 5 3
121,"<BOS> āeksio , ziry issi hen targaryen . henujagon issi hen pryjari , se hēdrȳ hen jaelagon issi se zaldrīzir . pryjari issi hen lēkia jorrāelagon se vējose , se hēdrȳ se zaldrīzir . <EOS>",2 61 7 32 12 24 65 5 9 12 24 39 7 4 19 24 45 12 4 30 5 39 12 24 111 22 4 44 7 4 19 4 30 5 3
122,"<BOS> pryjari se hen mēre , se ñuho ghiscī issi se hen ēlī jaelagon . ñuho issi hen hēdrȳ jaelagon , se hēdrȳ se glaes . pryjari se hen pyghor jorrāelagon , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 24 80 7 4 175 226 12 4 24 16 45 5 175 12 24 19 45 7 4 19 4 47 5 39 4 24 87 22 7 4 19 4 30 5 3
123,"<BOS> skoros issi se henujagon vējose jorrāelagon se hēdrȳ se zaldrīzir . hen lēkia issi hen zaldrīzir , se hēdrȳ se qilōni . pryjari se zaldrīzir se henujagon vējose , se henujagon glaes . <EOS>",2 13 12 4 9 44 22 4 19 4 30 5 24 111 12 24 30 7 4 19 4 54 5 39 4 30 4 9 44 7 4 9 47 5 3
124,"<BOS> henujagon hen mēre , pryjari se zaldrīzir se henujagon glaes , se henujagon zaldrīzir , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . hen belma jaelagon henujagon pryjari se ābrar issi , se henujagon se vējose se henujagon glaes jorrāelagon hen iderēbza issi . <EOS>",2 9 24 80 7 39 4 30 4 9 47 7 4 9 30 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 24 69 45 9 39 4 88 12 7 4 9 4 44 4 9 47 22 24 35 12 5 3
125,"<BOS> zaldrīzir , skoros issi se hēdrȳ henujagon zaldrīzir ? <EOS>",2 30 7 13 12 4 19 9 30 59 3
126,"<BOS> skoros issi , pryjari . henujagon se zaldrīzir jorrāelagon iderēbza issi . skoros issi se henujagon glaes , se henujagon kirimvose . <EOS>",2 13 12 7 39 5 9 4 30 22 35 12 5 13 12 4 9 47 7 4 9 49 5 3
127,"<BOS> iderēbza issi se hēdrȳ henujagon glaes , se henujagon kirimvose . zaldrīzir , skoros issi se hēdrȳ henujagon vējose ? <EOS>",2 35 12 4 19 9 47 7 4 9 49 5 30 7 13 12 4 19 9 44 59 3
128,"<BOS> skoros issi , pryjari . henujagon se vējose jorrāelagon iderēbza issi . skoros issi se henujagon zaldrīzir . <EOS>",2 13 12 7 39 5 9 4 44 22 35 12 5 13 12 4 9 30 5 3
129,"<BOS> iderēbza issi se hēdrȳ henujagon zaldrīzir . zaldrīzir , skoros issi se hēdrȳ henujagon kirimvose ? <EOS>",2 35 12 4 19 9 30 5 30 7 13 12 4 19 9 49 59 3
130,"<BOS> skoros issi , pryjari . henujagon se kirimvose jorrāelagon iderēbza issi . skoros issi se henujagon qilōni . <EOS>",2 13 12 7 39 5 9 4 49 22 35 12 5 13 12 4 9 54 5 3
131,"<BOS> iderēbza issi se hēdrȳ henujagon qilōni . zaldrīzir , skoros issi se hēdrȳ henujagon dōre ? <EOS>",2 35 12 4 19 9 54 5 30 7 13 12 4 19 9 71 59 3
132,"<BOS> skoros issi , pryjari . henujagon se dōre jorrāelagon iderēbza issi . skoros issi , æeksio . <EOS>",2 13 12 7 39 5 9 4 71 22 35 12 5 13 12 7 174 5 3
133,"<BOS> iderēbza issi , zaldrīzir . skoros issi se hēdrȳ henujagon dōre . morghūljagon jorrāelagon hen skoros . <EOS>",2 35 12 7 30 5 13 12 4 19 9 71 5 81 22 24 13 5 3
134,"<BOS> morghūljagon issi , pryjari . skoros issi se henujagon glaes , se henujagon zaldrīzir . <EOS>",2 81 12 7 39 5 13 12 4 9 47 7 4 9 30 5 3
135,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . pryjari se zaldrīzir se hēdrȳ henujagon glaes , se henujagon zaldrīzir , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . <EOS>",2 9 24 80 7 9 4 35 12 5 39 4 30 4 19 9 47 7 4 9 30 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 3
136,"<BOS> ȳdragon hen targaryen , henujagon se pryjari se henujagon se zaldrīzir , se henujagon se qilōni , se henujagon se kirimvose . hen vējose se henujagon kirimvose , se hēdrȳ se zaldrīzir . hen pōnta jaelagon , ðāeri se hen lēkia se hen pyghor , se hēdrȳ se zaldrīzir , se henujagon kirimvose . <EOS>",2 108 24 65 7 9 4 39 4 9 4 30 7 4 9 4 54 7 4 9 4 49 5 24 44 4 9 49 7 4 19 4 30 5 24 53 45 7 289 4 24 111 4 24 87 7 4 19 4 30 7 4 9 49 5 3
137,"<BOS> skoros issi hen pryjari , pryjari se henujagon se zaldrīzir . hen vējose se henujagon qilōni , se hēdrȳ se zaldrīzir . hen glaes se henujagon vējose , se hēdrȳ se zaldrīzir . <EOS>",2 13 12 24 39 7 39 4 9 4 30 5 24 44 4 9 54 7 4 19 4 30 5 24 47 4 9 44 7 4 19 4 30 5 3
138,"<BOS> pryjari se henujagon kirimvose se henujagon glaes . pryjari se henujagon se qilōni , se henujagon se zaldrīzir . hen vējose se henujagon kirimvose , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 9 49 4 9 47 5 39 4 9 4 54 7 4 9 4 30 5 24 44 4 9 49 7 4 19 4 30 5 3
139,"<BOS> pryjari se zaldrīzir jorrāelagon , se hēdrȳ se glaes jorrāelagon iderēbza . pryjari se henujagon se glaes , se henujagon se zaldrīzir . hen vējose se henujagon glaes , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 30 22 7 4 19 4 47 22 35 5 39 4 9 4 47 7 4 9 4 30 5 24 44 4 9 47 7 4 19 4 30 5 3
140,"<BOS> pryjari se henujagon se kirimvose se henujagon glaes . pryjari se henujagon se zaldrīzir , se henujagon se qilōni . hen vējose se henujagon kirimvose , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 9 4 49 4 9 47 5 39 4 9 4 30 7 4 9 4 54 5 24 44 4 9 49 7 4 19 4 30 5 3
141,"<BOS> pryjari se zaldrīzir jorrāelagon , se hēdrȳ se kirimvose jorrāelagon iderēbza . pryjari se henujagon se kirimvose , se henujagon se zaldrīzir . hen vējose se henujagon kirimvose , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 30 22 7 4 19 4 49 22 35 5 39 4 9 4 49 7 4 9 4 30 5 24 44 4 9 49 7 4 19 4 30 5 3
142,"<BOS> pryjari se henujagon pōnta jaelagon , se hēdrȳ henujagon vējose . hen pōnta jaelagon , zaldrīzir issi henujagon drējagon , se hēdrȳ se zaldrīzir . hen mēre , henujagon se iderēbza issi . <EOS>",2 39 4 9 53 45 7 4 19 9 44 5 24 53 45 7 30 12 9 62 7 4 19 4 30 5 24 80 7 9 4 35 12 5 3
143,"<BOS> skoros issi hen pryjari , se hēdrȳ hen se zaldrīzir . pryjari se henujagon se qilōni , se henujagon se zaldrīzir . hen vējose se henujagon qilōni , se hēdrȳ se zaldrīzir . <EOS>",2 13 12 24 39 7 4 19 24 4 30 5 39 4 9 4 54 7 4 9 4 30 5 24 44 4 9 54 7 4 19 4 30 5 3
144,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . pryjari se zaldrīzir se henujagon glaes , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . <EOS>",2 9 24 80 7 9 4 35 12 5 39 4 30 4 9 47 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 3
145,"<BOS> hen pryjari se zaldrīzir issi , se hēdrȳ hen jaelagon se qilōni . pryjari se henujagon kirimvose se henujagon qilōni , se hēdrȳ se glaeson jorrāelagon iderēbza . hen vējose se henujagon qilōni , se hēdrȳ se zaldrīzir . <EOS>",2 24 39 4 30 12 7 4 19 24 45 4 54 5 39 4 9 49 4 9 54 7 4 19 4 99 22 35 5 24 44 4 9 54 7 4 19 4 30 5 3
146,"<BOS> pryjari se henujagon tīkila jorrāelagon , se hēdrȳ se kirimvose jorrāelagon iderēbza . pryjari se henujagon se kirimvose , se henujagon se tīkila . hen vējose se henujagon kirimvose , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 9 113 22 7 4 19 4 49 22 35 5 39 4 9 4 49 7 4 9 4 113 5 24 44 4 9 49 7 4 19 4 30 5 3
147,"<BOS> pryjari se zaldrīzir jorrāelagon , se hēdrȳ se glaeson jorrāelagon iderēbza . pryjari se henujagon se glaeson , se henujagon se zaldrīzir . hen vējose se henujagon glaeson , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 30 22 7 4 19 4 99 22 35 5 39 4 9 4 99 7 4 9 4 30 5 24 44 4 9 99 7 4 19 4 30 5 3
148,"<BOS> pryjari se henujagon tīkila se henujagon glaeson . pryjari se henujagon se zaldrīzir , se henujagon se qilōni . hen vējose se henujagon tīkila , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 9 113 4 9 99 5 39 4 9 4 30 7 4 9 4 54 5 24 44 4 9 113 7 4 19 4 30 5 3
149,"<BOS> pryjari se zaldrīzir jorrāelagon , se hēdrȳ se tīkila jorrāelagon iderēbza . pryjari se henujagon se tīkila , se henujagon se zaldrīzir . hen vējose se henujagon tīkila , se hēdrȳ se zaldrīzir . <EOS>",2 39 4 30 22 7 4 19 4 113 22 35 5 39 4 9 4 113 7 4 9 4 30 5 24 44 4 9 113 7 4 19 4 30 5 3
150,"<BOS> pryjari se henujagon pōnta jaelagon , se hēdrȳ henujagon vējose . hen pōnta jaelagon , zaldrīzir issi henujagon drējagon , se hēdrȳ se zaldrīzir . hen mēre , henujagon se iderēbza issi . <EOS>",2 39 4 9 53 45 7 4 19 9 44 5 24 53 45 7 30 12 9 62 7 4 19 4 30 5 24 80 7 9 4 35 12 5 3
151,"<BOS> hen pryjari se zaldrīzir issi , se hēdrȳ hen se zaldrīzir . pryjari se henujagon se qilōni , se henujagon se zaldrīzir . hen vējose se henujagon qilōni , se hēdrȳ se zaldrīzir . <EOS>",2 24 39 4 30 12 7 4 19 24 4 30 5 39 4 9 4 54 7 4 9 4 30 5 24 44 4 9 54 7 4 19 4 30 5 3
152,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . pryjari se zaldrīzir se henujagon glaeson , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . <EOS>",2 9 24 80 7 9 4 35 12 5 39 4 30 4 9 99 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 3
153,"<BOS> aōhaerys se henujagon se glaeson , se henujagon se kirimvose . hen vējose se henujagon kirimvose , se hēdrȳ se pryjari zūgagon se aōhaerys . <EOS>",2 135 4 9 4 99 7 4 9 4 49 5 24 44 4 9 49 7 4 19 4 39 60 4 135 5 3
154,"<BOS> henujagon hen mēre , henujagon se iderēbza issi . pryjari zūgagon se aōhaerys se henujagon glaeson , se henujagon kirimvose . henujagon pōnta jaelagon drējagon , se hēdrȳ henujagon vējose . <EOS>",2 9 24 80 7 9 4 35 12 5 39 60 4 135 4 9 99 7 4 9 49 5 9 53 45 62 7 4 19 9 44 5 3
155,"<BOS> pryjari zūgagon se aōhaerys se henujagon se kirimvose , se henujagon se glaeson . henujagon hen mēre , henujagon se iderēbza issi . <EOS>",2 39 60 4 135 4 9 4 49 7 4 9 4 99 5 9 24 80 7 9 4 35 12 5 3
156,"<BOS> zȳhaan , ziry rijībi jorrāelis ? <EOS>",2 205 7 32 270 41 59 3
157,"<BOS> gadīlī jorrāelis , henujagon avy kepa gaomagon . kessa tepagon ajomāri , jikās tepagon ēlī . onos jaelagon se hūbēnti issa se hūbēntas . āeksi jaelagon se zaldrīzoti issa se zaldrīzotas . <EOS>",2 225 41 7 9 58 251 18 5 126 74 209 7 119 74 16 5 195 45 4 235 10 4 234 5 146 45 4 8 10 4 172 5 3
158,<BOS> ziry ōdrikagon gaomagon belma se rūsa se gaomis . ñuhe ōdrikagon se skoros issa se skoros . skoriot ōdrikagon se drējoti issa se drējotas . kostas ōdrikagon se ūndanissis issa se ūndanissis . <EOS>,2 32 11 18 69 4 273 4 46 5 206 11 4 13 10 4 13 5 43 11 4 48 10 4 28 5 95 11 4 17 10 4 17 5 3
159,<BOS> kostilus jaelagon se dāervon issa se dāervosas . dāerves ōdrikagon se gaomagon issa se gaomis . gaomagon ōdrikagon se skoros issa se skoros . skoriot ōdrikagon se drējoti issa se drējotas . <EOS>,2 31 45 4 34 10 4 29 5 220 11 4 18 10 4 46 5 18 11 4 13 10 4 13 5 43 11 4 48 10 4 28 5 3
160,<BOS> drējotas ōdrikagon se ūndanissis issa se ūndanissis . ūndanissis ōdrikagon se dāervon issa se dāervosas . dāervosas ōdrikagon se ēlī issa se ēlī . ēlī ōdrikagon se zaldrīzoti issa se zaldrīzotas . <EOS>,2 28 11 4 17 10 4 17 5 17 11 4 34 10 4 29 5 29 11 4 16 10 4 16 5 16 11 4 8 10 4 172 5 3
161,<BOS> ziry henujagon se dāeri issa se dāeris . dāeriot henujagon se gaomagon issa se gaomis . gaomagon henujagon se skoros issa se skoros . skoriot henujagon se drējoti issa se drējotas . <EOS>,2 32 9 4 37 10 4 50 5 51 9 4 18 10 4 46 5 18 9 4 13 10 4 13 5 43 9 4 48 10 4 28 5 3
162,<BOS> drējotas henujagon se ūndanissis issa se ūndanissis . ūndanissis henujagon se dāervon issa se dāervosas . dāervosas henujagon se zaldrīzoti issa se zaldrīzotas . ziry zaldrīzoti ōdrikagon se skoros issa se skoros . <EOS>,2 28 9 4 17 10 4 17 5 17 9 4 34 10 4 29 5 29 9 4 8 10 4 172 5 32 8 11 4 13 10 4 13 5 3
163,<BOS> skoriot zaldrīzoti ōdrikagon se drējoti issa se drējotas . drējotas zaldrīzoti ōdrikagon se ūndanissis issa se ūndanissis . ūndanissis zaldrīzoti ōdrikagon se dāervon issa se dāervosas . <EOS>,2 43 8 11 4 48 10 4 28 5 28 8 11 4 17 10 4 17 5 17 8 11 4 34 10 4 29 5 3
164,<BOS> dāervosas zaldrīzoti ōdrikagon se ēlī issa se ēlī . ēlī zaldrīzoti ōdrikagon se henujagon issa se henujagon . henujagon zaldrīzoti ōdrikagon se dāeri issa se dāeris . <EOS>,2 29 8 11 4 16 10 4 16 5 16 8 11 4 9 10 4 9 5 9 8 11 4 37 10 4 50 5 3
165,<BOS> dāeriot zaldrīzoti ōdrikagon se gaomagon issa se gaomis . gaomagon zaldrīzoti ōdrikagon se skoros issa se skoros . skoriot zaldrīzoti ōdrikagon se drējoti issa se drējotas . <EOS>,2 51 8 11 4 18 10 4 46 5 18 8 11 4 13 10 4 13 5 43 8 11 4 48 10 4 28 5 3
166,<BOS> drējotas zaldrīzoti ōdrikagon se ūndanissis issa se ūndanissis . ūndanissis zaldrīzoti ōdrikagon se dāervon issa se dāervosas . dāervosas zaldrīzoti ōdrikagon se ēlī issa se ēlī . <EOS>,2 28 8 11 4 17 10 4 17 5 17 8 11 4 34 10 4 29 5 29 8 11 4 16 10 4 16 5 3
167,<BOS> ēlī zaldrīzoti ōdrikagon se henujagon issa se henujagon . henujagon zaldrīzoti ōdrikagon se dāeri issa se dāeris . dāeriot zaldrīzoti ōdrikagon se gaomagon issa se gaomis . <EOS>,2 16 8 11 4 9 10 4 9 5 9 8 11 4 37 10 4 50 5 51 8 11 4 18 10 4 46 5 3
168,<BOS> gaomagon zaldrīzoti ōdrikagon se skoros issa se skoros . skoriot zaldrīzoti ōdrikagon se drējoti issa se drējotas . drējotas zaldrīzoti ōdrikagon se ūndanissis issa se ūndanissis . <EOS>,2 18 8 11 4 13 10 4 13 5 43 8 11 4 48 10 4 28 5 28 8 11 4 17 10 4 17 5 3
169,<BOS> ūndanissis zaldrīzoti ōdrikagon se dāervon issa se dāervosas . dāervosas zaldrīzoti ōdrikagon se ēlī issa se ēlī . ēlī zaldrīzoti ōdrikagon se henujagon issa se henujagon . <EOS>,2 17 8 11 4 34 10 4 29 5 29 8 11 4 16 10 4 16 5 16 8 11 4 9 10 4 9 5 3
170,<BOS> henujagon zaldrīzoti ōdrikagon se dāeri issa se dāeris . dāeriot zaldrīzoti ōdrikagon se gaomagon issa se gaomis . gaomagon zaldrīzoti ōdrikagon se skoros issa se skoros . <EOS>,2 9 8 11 4 37 10 4 50 5 51 8 11 4 18 10 4 46 5 18 8 11 4 13 10 4 13 5 3
171,<BOS> skoriot zaldrīzoti ōdrikagon se drējoti issa se drējotas . drējotas zaldrīzoti ōdrikagon se ūndanissis issa se ūndanissis . ūndanissis zaldrīzoti ōdrikagon se dāervon issa se dāervosas . <EOS>,2 43 8 11 4 48 10 4 28 5 28 8 11 4 17 10 4 17 5 17 8 11 4 34 10 4 29 5 3
172,<BOS> dāervosas zaldrīzoti ōdrikagon se ēlī issa se ēlī . ēlī zaldrīzoti ōdrikagon se henujagon issa se henujagon . henujagon zaldrīzoti ōdrikagon se dāeri issa se dāeris . <EOS>,2 29 8 11 4 16 10 4 16 5 16 8 11 4 9 10 4 9 5 9 8 11 4 37 10 4 50 5 3
173,<BOS> dāeriot zaldrīzoti ōdrikagon se gaomagon issa se gaomis . gaomagon zaldrīzoti ōdrikagon se skoros issa se skoros . skoriot zaldrīzoti ōdrikagon se drējoti issa se drējotas . <EOS>,2 51 8 11 4 18 10 4 46 5 18 8 11 4 13 10 4 13 5 43 8 11 4 48 10 4 28 5 3
174,<BOS> drējotas zaldrīzoti ōdrikagon se ūndanissis issa se ūndanissis . ūndanissis zaldrīzoti ōdrikagon se dāervon issa se dāervosas . dāervosas zaldrīzoti ōdrikagon se ēlī issa se ēlī . <EOS>,2 28 8 11 4 17 10 4 17 5 17 8 11 4 34 10 4 29 5 29 8 11 4 16 10 4 16 5 3
175,<BOS> ēlī zaldrīzoti ōdrikagon se henujagon issa se henujagon . henujagon zaldrīzoti ōdrikagon se dāeri issa se dāeris . dāeriot zaldrīzoti ōdrikagon se gaomagon issa se gaomis . <EOS>,2 16 8 11 4 9 10 4 9 5 9 8 11 4 37 10 4 50 5 51 8 11 4 18 10 4 46 5 3
176,<BOS> gaomagon zaldrīzoti ōdrikagon se skoros issa se skoros . skoriot zaldrīzoti ōdrikagon se drējoti issa se drējotas . drējotas zaldrīzoti ōdrikagon se ūndanissis issa se ūndanissis . <EOS>,2 18 8 11 4 13 10 4 13 5 43 8 11 4 48 10 4 28 5 28 8 11 4 17 10 4 17 5 3
177,<BOS> ūndanissis zaldrīzoti ōdrikagon se dāervon issa se dāervosas . dāervosas zaldrīzoti ōdrikagon se ēlī issa se ēlī . ēlī zaldrīzoti ōdrikagon se henujagon issa se henujagon . <EOS>,2 17 8 11 4 34 10 4 29 5 29 8 11 4 16 10 4 16 5 16 8 11 4 9 10 4 9 5 3
178,<BOS> henujagon zaldrīzoti ōdrikagon se dāeri issa se dāeris . dāeriot zaldrīzoti ōdrikagon se gaomagon issa se gaomis . gaomagon zaldrīzoti ōdrikagon se skoros issa se skoros . <EOS>,2 9 8 11 4 37 10 4 50 5 51 8 11 4 18 10 4 46 5 18 8 11 4 13 10 4 13 5 3
179,<BOS> skoriot zaldrīzoti ōdrikagon se drējoti issa se drējotas . drējotas zaldrīzoti ōdrikagon se ūndanissis issa se ūndanissis . ūndanissis zaldrīzoti ōdrikagon se dāervon issa se dāervosas . <EOS>,2 43 8 11 4 48 10 4 28 5 28 8 11 4 17 10 4 17 5 17 8 11 4 34 10 4 29 5 3
180,<BOS> dāervosas zaldrīzoti ōdrikagon se ēlī issa se ēlī . ēlī zaldrīzoti ōdrikagon se henujagon issa se henujagon . henujagon zaldrīzoti ōdrikagon se dāeri issa se dāeris . <EOS>,2 29 8 11 4 16 10 4 16 5 16 8 11 4 9 10 4 9 5 9 8 11 4 37 10 4 50 5 3
181,<BOS> dāeriot zaldrīzoti ōdrikagon se gaomagon issa se gaomis . gaomagon zaldrīzoti ōdrikagon se skoros issa se skoros . skoriot zaldrīzoti ōdrikagon se drējoti issa se drējotas . <EOS>,2 51 8 11 4 18 10 4 46 5 18 8 11 4 13 10 4 13 5 43 8 11 4 48 10 4 28 5 3
182,<BOS> drējotas zaldrīzoti ōdrikagon se ūndanissis issa se ūndanissis . ūndanissis zaldrīzoti ōdrikagon se dāervon issa se dāervosas . dāervosas zaldrīzoti ōdrikagon se ēlī issa se ēlī . <EOS>,2 28 8 11 4 17 10 4 17 5 17 8 11 4 34 10 4 29 5 29 8 11 4 16 10 4 16 5 3
